Sponsor ID,Sponsor Name,Level,Commitment Date,Tagline Or Featurette,Website,Contact Email,Logo on OEFF Website,Social Recognition Nov 2025,Sneak Peek E-News,EOY 2025 Eventbrite Email,E-Newsletter Promo Month,Full Page Program Guide Ad,Logo on Printed Bookmark,Presented By Slot Plus Tabling,Presented By EventBrite Logo,Presented By Screening Deck Logo,Logo on OEFF Website General,Recognition Pre-Fest Video,Recognition Fest Week Video,Recognition on Social Media,Recognition E-Newsletter,Ad in Program Guide Digital,Logo on T-Shirt,Co-Branded Stickers,Tabling at Launch Party,Action Fair Screening Remarks,Share Registration Table Action Fair,Donor Preview Party Tickets,Early OEFF Ticket Presale,Launch Party Event Remarks,Launch Party Verbal Recognition by MC,Launch Party Tickets,Sponsors Only Group Tour OEC,Educational Program,Team Building Volunteer Opportunity
S26-001,Ferdi Foundation,Presenting,02.04.26,N/A,https://ferdi.fr/en,,false,,false,,Requested,,false,false,false,false,false,,false,1 Individual Branded Post,false,false,false,,false,,,5,false,,false,4,false,,
S26-002,FUCOP,Growing,01.07.26,Opted Out,https://www.firstunitedoakpark.com/,,true,true,false,,2026-02-01 00:00:00,,,false,,false,false,,,1 Branded Post,false,false,false,,,,,2,false,,,2,,,
S26-003,Village of Oak Park,Growing,01.09.26,Requested,https://www.oak-park.us/Home,,false,,false,,Requested,,,false,,false,false,,,1 Branded Post,false,false,false,,,,,2,false,,,2,false,,
S26-004,The Nature Conservancy,Growing,01.30.26,Requested,https://www.nature.org/en-us/about-us,,false,,false,,Requested,,,false,,false,false,,,1 Branded Post,false,false,false,,,,,2,false,,,2,false,,
S26-005,River Forest Park District,Sustaining,01.30.26,N/A,https://rfparks.com/,,false,,false,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-006,Village of River Forest,Sustaining,02.04.26,,https://www.vrf.us/index.html,,false,,false,,,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-007,Ball,Sustaining,10.21.25,“We Color the World” | We Color the World! See you in the garden this spring. Find inspiration at www.ballhort.com.,https://www.ballhort.com,,true,true,false,,2026-04-01 00:00:00,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-008,Walter Mander Foundation,Sustaining,10.27.26,,https://www.waltermanderfoundation.org/,,false,,false,,,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-009,ELPC,Sustaining,11.14.25,"The Environmental Law & Policy Center advocates, innovates, and litigates to protect the Midwest's environment from the Great Lakes to the Great Plains.",https://elpc.org/ways-to-give/?utm_source=google&utm_campaign=23007324201&utm_content=&utm_term=&utm_medium=&gad_source=1&gad_campaignid=23017577890&gbraid=0AAAAAD9QO0Lt9XZaA8aWiP9IRD5LO47u4,,true,true,false,,2026-04-01 00:00:00,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-010,Edward Jones,Sustaining,11.20.25,"""Do your investments match your values?""",https://www.edwardjones.com/us-en/financial-advisor/joe-okrepky,,true,true,false,,2026-07-01 00:00:00,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-011,Green America,Sustaining,11.20.25,Economic Action for People and the Planet,https://greenamerica.org/,,true,true,false,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,2,,,
S26-012,Rivian,Contributing,01.12.26,N/A,https://rivianfoundation.org/,,false,,false,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-013,Race Conscious Dialogues,Contributing,01.15.26,"""Internal work for external impact""",https://www.raceconsciousdialogues.org/,,,,false,,Feb/April 2026,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-014,United Nations Association,Contributing,12.14.25,,https://www.unachicago.org/,,false,,false,,,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-015,Friends of the Oak Park Conservatory,Supporting,01.07.26,,https://fopcon.org/,,false,,false,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-016,MPB,Supporting,01.08.26,"""There’s a better way to swap camera gear than spending big bucks and selling for small change. Whether you want to buy, sell or trade, MPB makes it simple to shake up your setup with lower prices and higher payouts on expert-approved gear. Shipping is free, prices are fair and the process is fast. Don't wait to make your dream gear a reality. Change gear with MPB today.""",https://www.mpb.com/en-us?utm_source=event&utm_medium=Website&utm_campaign=mar:us%7Ccam:One+Earth+Film+Festival,,true,true,false,,2026-04-01 00:00:00,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-017,Ruby Fine Hibiscus Tea,Supporting,01.27.26,"""Ruby Fine Hibiscus Tea is a real, rare, and refreshing bottled tea that's brewed with love in Chicago, IL. Blending hibiscus, ginger, local honey and pink salt, Ruby is the perfect beverage for at-home enjoyment and celebrations of all kinds.""",https://experienceruby.com/,,,,false,,2026-04-01 00:00:00,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-018,Ailey Solar,Supporting,10.07.25,Requested,https://aileysolarelectric.com/,,true,true,false,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-019,Seven Generations Ahead,Tabling,01.29.26,Requested,https://sevengenerationsahead.org/,,false,,,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-020,Delta Research & Ed.,Tabling,11.16.25,Requested,https://deltafoundation.net/,,true,true,,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-021,Open Water ($~350),In-Kind,01.22.26,N/A,https://drinkopenwater.com/,,false,,,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
S26-022,The Field Museum (~$5000),In-Kind,11.25.26,Requested,www.fieldmuseum.org/,,false,,,,Requested,,,,,false,false,,,1 Individual Branded Post,false,false,false,,,,,*3,false,,false,2,false,,
S26-023,Green Century,Pending,01.21.25,Requested,https://www.greencentury.com/,,false,,,,Requested,,,,,,false,,,1 Group Post,,,,,,,,2,false,,,1,,,
